# truecount	recall	nodecounts	precision	adjaccuracy	truenodecounts	f1score	accuracy
8.000000000000000000e+00 1.000000000000000000e+00 9.300000000000000000e+01 8.000000000000000444e-01 8.000000000000000444e-01 9.900000000000000000e+01 8.888888888888888395e-01 8.000000000000000444e-01
2.800000000000000000e+01 8.928571428571429047e-01 9.300000000000000000e+01 7.812500000000000000e-01 1.074806534823731681e-02 8.600000000000000000e+01 8.333333333333333703e-01 1.074806534823731681e-02
4.000000000000000000e+00 1.000000000000000000e+00 9.300000000000000000e+01 6.666666666666666297e-01 6.666666666666666297e-01 9.900000000000000000e+01 8.000000000000000444e-01 6.666666666666666297e-01
6.000000000000000000e+00 1.000000000000000000e+00 9.300000000000000000e+01 1.000000000000000000e+00 5.999999999999999778e-01 1.700000000000000000e+01 1.000000000000000000e+00 5.999999999999999778e-01
5.000000000000000000e+00 1.000000000000000000e+00 9.300000000000000000e+01 6.250000000000000000e-01 6.250000000000000000e-01 4.800000000000000000e+01 7.692307692307692735e-01 6.250000000000000000e-01
6.000000000000000000e+00 1.000000000000000000e+00 9.300000000000000000e+01 7.500000000000000000e-01 5.999999999999999778e-01 8.300000000000000000e+01 8.571428571428570953e-01 5.999999999999999778e-01
5.000000000000000000e+00 1.000000000000000000e+00 9.300000000000000000e+01 8.333333333333333703e-01 8.333333333333333703e-01 2.500000000000000000e+01 9.090909090909090606e-01 8.333333333333333703e-01
5.500000000000000000e+01 8.545454545454544970e-01 9.300000000000000000e+01 8.103448275862068506e-01 3.420669577874817929e-02 9.600000000000000000e+01 8.318584070796459784e-01 3.420669577874817929e-02
5.800000000000000000e+01 9.482758620689655249e-01 9.300000000000000000e+01 8.461538461538461453e-01 1.782242384964355039e-02 9.900000000000000000e+01 8.943089430894308745e-01 1.782242384964355039e-02
5.800000000000000000e+01 9.310344827586206629e-01 9.300000000000000000e+01 8.437500000000000000e-01 6.513872135102533045e-02 9.900000000000000000e+01 8.852459016393442459e-01 6.513872135102533045e-02
5.000000000000000000e+01 6.800000000000000488e-01 9.300000000000000000e+01 8.947368421052631637e-01 2.518518518518518545e-02 9.100000000000000000e+01 7.727272727272727071e-01 2.518518518518518545e-02
5.700000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 8.382352941176470784e-01 6.250000000000000000e-02 9.900000000000000000e+01 9.120000000000000329e-01 6.250000000000000000e-02
8.000000000000000000e+00 1.000000000000000000e+00 9.300000000000000000e+01 8.888888888888888395e-01 8.888888888888888395e-01 3.300000000000000000e+01 9.411764705882352811e-01 8.888888888888888395e-01
8.000000000000000000e+00 1.000000000000000000e+00 9.300000000000000000e+01 8.888888888888888395e-01 8.888888888888888395e-01 2.300000000000000000e+01 9.411764705882352811e-01 8.888888888888888395e-01
8.000000000000000000e+00 1.000000000000000000e+00 9.300000000000000000e+01 7.272727272727272929e-01 7.272727272727272929e-01 3.700000000000000000e+01 8.421052631578946901e-01 7.272727272727272929e-01
7.000000000000000000e+00 1.000000000000000000e+00 9.300000000000000000e+01 7.777777777777777901e-01 3.825136612021858007e-02 3.300000000000000000e+01 8.750000000000000000e-01 3.825136612021858007e-02
9.000000000000000000e+00 6.666666666666666297e-01 9.300000000000000000e+01 8.571428571428570953e-01 3.571428571428571230e-02 4.400000000000000000e+01 7.500000000000000000e-01 3.571428571428571230e-02
7.800000000000000000e+01 9.358974358974359031e-01 9.300000000000000000e+01 7.934782608695651884e-01 5.611068408916218553e-02 9.900000000000000000e+01 8.588235294117646523e-01 5.611068408916218553e-02
3.300000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 9.428571428571428381e-01 9.428571428571428381e-01 9.900000000000000000e+01 9.705882352941176405e-01 9.428571428571428381e-01
8.200000000000000000e+01 9.512195121951219079e-01 9.300000000000000000e+01 7.428571428571428825e-01 3.529411764705882304e-02 9.600000000000000000e+01 8.342245989304812870e-01 3.529411764705882304e-02
7.200000000000000000e+01 9.722222222222222099e-01 9.300000000000000000e+01 9.859154929577464976e-01 9.589041095890410427e-01 9.900000000000000000e+01 9.790209790209790652e-01 9.589041095890410427e-01
2.700000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 9.642857142857143016e-01 9.642857142857143016e-01 9.900000000000000000e+01 9.818181818181818121e-01 9.642857142857143016e-01
1.200000000000000000e+01 6.666666666666666297e-01 9.300000000000000000e+01 6.153846153846154188e-01 1.085481682496607786e-02 6.600000000000000000e+01 6.400000000000000133e-01 1.085481682496607786e-02
1.100000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 9.166666666666666297e-01 9.166666666666666297e-01 2.400000000000000000e+01 9.565217391304348116e-01 9.166666666666666297e-01
1.100000000000000000e+01 9.090909090909090606e-01 9.300000000000000000e+01 7.692307692307692735e-01 2.325581395348837177e-01 5.100000000000000000e+01 8.333333333333333703e-01 2.325581395348837177e-01
1.200000000000000000e+01 6.666666666666666297e-01 9.300000000000000000e+01 6.666666666666666297e-01 4.000000000000000222e-01 4.300000000000000000e+01 6.666666666666666297e-01 4.000000000000000222e-01
1.100000000000000000e+01 5.454545454545454142e-01 9.300000000000000000e+01 8.571428571428570953e-01 1.192842942345924417e-02 7.000000000000000000e+01 6.666666666666666297e-01 1.192842942345924417e-02
5.600000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 9.824561403508771384e-01 9.824561403508771384e-01 9.900000000000000000e+01 9.911504424778760924e-01 9.824561403508771384e-01
1.040000000000000000e+02 9.615384615384615641e-01 9.300000000000000000e+01 9.090909090909090606e-01 6.361323155216284941e-02 9.700000000000000000e+01 9.345794392523364413e-01 6.361323155216284941e-02
7.900000000000000000e+01 9.873417721518987777e-01 9.300000000000000000e+01 9.873417721518987777e-01 1.090909090909090856e-01 9.900000000000000000e+01 9.873417721518987777e-01 1.090909090909090856e-01
9.000000000000000000e+00 1.000000000000000000e+00 9.300000000000000000e+01 9.000000000000000222e-01 9.000000000000000222e-01 9.900000000000000000e+01 9.473684210526315264e-01 9.000000000000000222e-01
1.070000000000000000e+02 9.345794392523364413e-01 9.300000000000000000e+01 8.264462809917355601e-01 4.366812227074235581e-02 1.000000000000000000e+02 8.771929824561403022e-01 4.366812227074235581e-02
1.500000000000000000e+01 5.999999999999999778e-01 9.300000000000000000e+01 6.923076923076922906e-01 6.320224719101123420e-03 4.500000000000000000e+01 6.428571428571429047e-01 6.320224719101123420e-03
1.200000000000000000e+01 9.166666666666666297e-01 9.300000000000000000e+01 8.461538461538461453e-01 1.594202898550724501e-01 3.300000000000000000e+01 8.800000000000000044e-01 1.594202898550724501e-01
1.200000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 8.000000000000000444e-01 8.000000000000000444e-01 6.600000000000000000e+01 8.888888888888888395e-01 8.000000000000000444e-01
1.100000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 9.166666666666666297e-01 9.166666666666666297e-01 3.100000000000000000e+01 9.565217391304348116e-01 9.166666666666666297e-01
1.100000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 7.857142857142856984e-01 7.857142857142856984e-01 3.300000000000000000e+01 8.800000000000000044e-01 7.857142857142856984e-01
1.290000000000000000e+02 9.922480620155038622e-01 9.300000000000000000e+01 7.804878048780488076e-01 5.304600082884376039e-02 9.800000000000000000e+01 8.737201365187713398e-01 5.304600082884376039e-02
1.390000000000000000e+02 9.856115107913668849e-01 9.300000000000000000e+01 7.287234042553191182e-01 2.485035370941411290e-02 1.000000000000000000e+02 8.379204892966360951e-01 2.485035370941411290e-02
1.340000000000000000e+02 9.776119402985075091e-01 9.300000000000000000e+01 8.238993710691824290e-01 8.966461327857631891e-02 1.000000000000000000e+02 8.941979522184300144e-01 8.966461327857631891e-02
1.360000000000000000e+02 9.852941176470588758e-01 9.300000000000000000e+01 8.072289156626506479e-01 5.175743530320586760e-02 9.900000000000000000e+01 8.874172185430463378e-01 5.175743530320586760e-02
2.200000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 9.166666666666666297e-01 9.166666666666666297e-01 9.900000000000000000e+01 9.565217391304348116e-01 9.166666666666666297e-01
1.500000000000000000e+01 8.000000000000000444e-01 9.300000000000000000e+01 9.230769230769231282e-01 1.944894651539708433e-02 9.900000000000000000e+01 8.571428571428570953e-01 1.944894651539708433e-02
1.500000000000000000e+01 8.666666666666666963e-01 9.300000000000000000e+01 9.285714285714286031e-01 1.783264746227709169e-02 8.800000000000000000e+01 8.965517241379310498e-01 1.783264746227709169e-02
1.700000000000000000e+01 7.647058823529411242e-01 9.300000000000000000e+01 7.222222222222222099e-01 1.143359718557607728e-02 7.900000000000000000e+01 7.428571428571428825e-01 1.143359718557607728e-02
1.400000000000000000e+01 5.714285714285713969e-01 9.300000000000000000e+01 1.000000000000000000e+00 1.028277634961439514e-02 6.300000000000000000e+01 7.272727272727272929e-01 1.028277634961439514e-02
1.600000000000000000e+01 8.750000000000000000e-01 9.300000000000000000e+01 7.777777777777777901e-01 2.641509433962264258e-02 6.900000000000000000e+01 8.235294117647058432e-01 2.641509433962264258e-02
