# truecount	recall	nodecounts	precision	adjaccuracy	truenodecounts	blocks	f1score	accuracy
4.000000000000000000e+00 1.000000000000000000e+00 7.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00 1.000000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00
8.800000000000000000e+01 5.681818181818181629e-02 7.300000000000000000e+01 6.250000000000000000e-01 5.494505494505494414e-02 8.600000000000000000e+01 1.000000000000000000e+02 1.041666666666666713e-01 5.494505494505494414e-02
3.600000000000000000e+01 1.388888888888888951e-01 7.300000000000000000e+01 8.333333333333333703e-01 1.351351351351351426e-01 3.400000000000000000e+01 1.000000000000000000e+02 2.380952380952380820e-01 1.351351351351351426e-01
8.000000000000000000e+00 1.000000000000000000e+00 7.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 6.000000000000000000e+00 1.000000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00
4.000000000000000000e+00 1.000000000000000000e+00 7.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00 1.000000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00
8.400000000000000000e+01 7.500000000000000000e-01 7.300000000000000000e+01 1.422121896162528154e-01 1.270161290322580627e-01 6.800000000000000000e+01 1.000000000000000000e+02 2.390891840607210495e-01 1.270161290322580627e-01
1.190000000000000000e+02 4.957983193277311074e-01 7.300000000000000000e+01 5.462962962962962798e-01 3.277777777777777790e-01 9.800000000000000000e+01 1.000000000000000000e+02 5.198237885462555496e-01 3.277777777777777790e-01
1.120000000000000000e+02 5.267857142857143016e-01 7.300000000000000000e+01 1.136648236268711278e-03 1.134571747240490855e-03 9.900000000000000000e+01 1.000000000000000000e+02 2.268401930064015137e-03 1.134571747240490855e-03
8.700000000000000000e+01 6.551724137931034253e-01 7.300000000000000000e+01 9.499999999999999556e-01 5.277777777777777901e-01 7.200000000000000000e+01 1.000000000000000000e+02 7.755102040816326259e-01 5.277777777777777901e-01
1.210000000000000000e+02 4.297520661157024913e-01 7.300000000000000000e+01 8.666666666666666963e-01 3.443708609271523002e-01 1.060000000000000000e+02 1.000000000000000000e+02 5.745856353591159982e-01 3.443708609271523002e-01
1.270000000000000000e+02 5.433070866141732624e-01 7.300000000000000000e+01 2.570789865871832974e-02 2.501812907904278627e-02 1.100000000000000000e+02 1.000000000000000000e+02 4.909284951974385997e-02 2.501812907904278627e-02
1.010000000000000000e+02 5.940594059405940319e-01 7.300000000000000000e+01 6.521739130434782705e-01 3.314917127071823066e-01 9.300000000000000000e+01 1.000000000000000000e+02 6.217616580310880714e-01 3.314917127071823066e-01
9.800000000000000000e+01 8.061224489795918435e-01 7.300000000000000000e+01 3.657407407407407551e-01 3.122529644268774440e-01 7.800000000000000000e+01 1.000000000000000000e+02 5.031847133757961776e-01 3.122529644268774440e-01
9.200000000000000000e+01 5.434782608695651884e-01 7.300000000000000000e+01 8.928571428571429047e-01 3.472222222222222099e-01 8.800000000000000000e+01 1.000000000000000000e+02 6.756756756756756577e-01 3.472222222222222099e-01
1.160000000000000000e+02 6.206896551724138122e-01 7.300000000000000000e+01 2.327837051406401667e-02 2.283539486203615618e-02 9.200000000000000000e+01 1.000000000000000000e+02 4.487379245870987826e-02 2.283539486203615618e-02
3.200000000000000000e+01 4.687500000000000000e-01 7.300000000000000000e+01 9.375000000000000000e-01 4.545454545454545303e-01 2.800000000000000000e+01 1.000000000000000000e+02 6.250000000000000000e-01 4.545454545454545303e-01
1.800000000000000000e+01 1.000000000000000000e+00 7.300000000000000000e+01 1.000000000000000000e+00 9.000000000000000222e-01 1.400000000000000000e+01 1.000000000000000000e+02 1.000000000000000000e+00 9.000000000000000222e-01
3.000000000000000000e+01 4.333333333333333481e-01 7.300000000000000000e+01 9.285714285714286031e-01 3.939393939393939226e-01 2.700000000000000000e+01 1.000000000000000000e+02 5.909090909090909394e-01 3.939393939393939226e-01
1.200000000000000000e+01 1.000000000000000000e+00 7.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00
2.000000000000000000e+01 1.000000000000000000e+00 7.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 1.400000000000000000e+01 1.000000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00
2.200000000000000000e+01 8.636363636363636465e-01 7.300000000000000000e+01 9.499999999999999556e-01 7.600000000000000089e-01 1.600000000000000000e+01 1.000000000000000000e+02 9.047619047619047672e-01 7.600000000000000089e-01
3.200000000000000000e+01 4.687500000000000000e-01 7.300000000000000000e+01 8.333333333333333703e-01 4.054054054054054279e-01 2.700000000000000000e+01 1.000000000000000000e+02 5.999999999999999778e-01 4.054054054054054279e-01
