# truecount	recall	nodecounts	precision	adjaccuracy	truenodecounts	blocks	f1score	accuracy
1.400000000000000000e+01 2.142857142857142738e-01 3.300000000000000000e+01 4.285714285714285476e-01 1.666666666666666574e-01 3.300000000000000000e+01 1.000000000000000000e+02 2.857142857142856984e-01 1.666666666666666574e-01
1.500000000000000000e+01 3.333333333333333148e-01 1.210000000000000000e+02 1.879699248120300648e-02 1.811594202898550790e-02 1.160000000000000000e+02 1.000000000000000000e+02 3.558718861209964751e-02 1.811594202898550790e-02
1.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00 1.000000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00
2.000000000000000000e+00 -1.000000000000000000e+00 8.600000000000000000e+01 -1.000000000000000000e+00 -1.000000000000000000e+00 8.600000000000000000e+01 1.000000000000000000e+02 -1.000000000000000000e+00 -1.000000000000000000e+00
2.000000000000000000e+00 5.000000000000000000e-01 3.400000000000000000e+01 5.000000000000000000e-01 3.333333333333333148e-01 3.400000000000000000e+01 1.000000000000000000e+02 5.000000000000000000e-01 3.333333333333333148e-01
2.000000000000000000e+00 1.000000000000000000e+00 6.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.000000000000000000e+00 1.000000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00 1.000000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00
1.900000000000000000e+01 3.684210526315789269e-01 7.700000000000000000e+01 2.173913043478260809e-02 2.095808383233532801e-02 6.800000000000000000e+01 1.000000000000000000e+02 4.105571847507331201e-02 2.095808383233532801e-02
1.900000000000000000e+01 4.210526315789473450e-01 9.800000000000000000e+01 3.200000000000000067e-01 2.222222222222222099e-01 9.800000000000000000e+01 1.000000000000000000e+02 3.636363636363636465e-01 2.222222222222222099e-01
1.900000000000000000e+01 2.631578947368420907e-01 1.010000000000000000e+02 4.136333553937789694e-04 4.131548504379441286e-04 9.900000000000000000e+01 1.000000000000000000e+02 8.259684480052862472e-04 4.131548504379441286e-04
1.900000000000000000e+01 2.631578947368420907e-01 7.200000000000000000e+01 5.555555555555555802e-01 2.173913043478260809e-01 7.200000000000000000e+01 1.000000000000000000e+02 3.571428571428571508e-01 2.173913043478260809e-01
1.800000000000000000e+01 1.666666666666666574e-01 1.060000000000000000e+02 3.333333333333333148e-01 1.250000000000000000e-01 1.060000000000000000e+02 1.000000000000000000e+02 2.222222222222222099e-01 1.250000000000000000e-01
2.200000000000000000e+01 3.181818181818181768e-01 1.100000000000000000e+02 8.771929824561403022e-03 8.610086100861008215e-03 1.100000000000000000e+02 1.000000000000000000e+02 1.707317073170731836e-02 8.610086100861008215e-03
2.100000000000000000e+01 3.809523809523809312e-01 9.300000000000000000e+01 4.000000000000000222e-01 2.424242424242424310e-01 9.300000000000000000e+01 1.000000000000000000e+02 3.902439024390244038e-01 2.424242424242424310e-01
2.400000000000000000e+01 5.000000000000000000e-01 7.800000000000000000e+01 1.463414634146341375e-01 1.276595744680850963e-01 7.800000000000000000e+01 1.000000000000000000e+02 2.264150943396226467e-01 1.276595744680850963e-01
1.900000000000000000e+01 1.052631578947368363e-01 8.800000000000000000e+01 3.333333333333333148e-01 8.695652173913043237e-02 8.800000000000000000e+01 1.000000000000000000e+02 1.600000000000000033e-01 8.695652173913043237e-02
2.300000000000000000e+01 3.913043478260869734e-01 9.200000000000000000e+01 3.244412400865176460e-03 3.228120516499282701e-03 9.200000000000000000e+01 1.000000000000000000e+02 6.435466571326420998e-03 3.228120516499282701e-03
4.000000000000000000e+00 7.500000000000000000e-01 2.800000000000000000e+01 7.500000000000000000e-01 5.999999999999999778e-01 2.800000000000000000e+01 1.000000000000000000e+02 7.500000000000000000e-01 5.999999999999999778e-01
5.000000000000000000e+00 5.999999999999999778e-01 1.400000000000000000e+01 7.500000000000000000e-01 5.000000000000000000e-01 1.400000000000000000e+01 1.000000000000000000e+02 6.666666666666666297e-01 5.000000000000000000e-01
4.000000000000000000e+00 2.500000000000000000e-01 2.700000000000000000e+01 3.333333333333333148e-01 1.666666666666666574e-01 2.700000000000000000e+01 1.000000000000000000e+02 2.857142857142856984e-01 1.666666666666666574e-01
3.000000000000000000e+00 1.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000000e+00 1.000000000000000000e+00 1.400000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 1.400000000000000000e+01 1.000000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00
6.000000000000000000e+00 5.000000000000000000e-01 1.600000000000000000e+01 5.999999999999999778e-01 3.750000000000000000e-01 1.600000000000000000e+01 1.000000000000000000e+02 5.454545454545454142e-01 3.750000000000000000e-01
6.000000000000000000e+00 3.333333333333333148e-01 2.700000000000000000e+01 4.000000000000000222e-01 2.222222222222222099e-01 2.700000000000000000e+01 1.000000000000000000e+02 3.636363636363636465e-01 2.222222222222222099e-01
6.000000000000000000e+00 6.666666666666666297e-01 1.700000000000000000e+01 8.000000000000000444e-01 5.714285714285713969e-01 1.700000000000000000e+01 1.000000000000000000e+02 7.272727272727272929e-01 5.714285714285713969e-01
7.000000000000000000e+00 7.142857142857143016e-01 1.900000000000000000e+01 8.333333333333333703e-01 6.250000000000000000e-01 1.900000000000000000e+01 1.000000000000000000e+02 7.692307692307692735e-01 6.250000000000000000e-01
5.000000000000000000e+00 5.999999999999999778e-01 8.900000000000000000e+01 1.875000000000000000e-01 1.666666666666666574e-01 8.900000000000000000e+01 1.000000000000000000e+02 2.857142857142856984e-01 1.666666666666666574e-01
9.000000000000000000e+00 7.777777777777777901e-01 3.600000000000000000e+01 8.750000000000000000e-01 6.999999999999999556e-01 3.600000000000000000e+01 1.000000000000000000e+02 8.235294117647058432e-01 6.999999999999999556e-01
1.000000000000000000e+01 9.000000000000000222e-01 4.300000000000000000e+01 5.000000000000000000e-01 4.736842105263157632e-01 4.300000000000000000e+01 1.000000000000000000e+02 6.428571428571429047e-01 4.736842105263157632e-01
7.000000000000000000e+00 7.142857142857143016e-01 1.900000000000000000e+01 8.333333333333333703e-01 6.250000000000000000e-01 1.900000000000000000e+01 1.000000000000000000e+02 7.692307692307692735e-01 6.250000000000000000e-01
9.000000000000000000e+00 7.777777777777777901e-01 2.500000000000000000e+01 8.750000000000000000e-01 6.999999999999999556e-01 2.500000000000000000e+01 1.000000000000000000e+02 8.235294117647058432e-01 6.999999999999999556e-01
9.000000000000000000e+00 7.777777777777777901e-01 4.300000000000000000e+01 7.777777777777777901e-01 6.363636363636363535e-01 4.300000000000000000e+01 1.000000000000000000e+02 7.777777777777777901e-01 6.363636363636363535e-01
1.800000000000000000e+01 3.888888888888888951e-01 1.040000000000000000e+02 4.046242774566474049e-02 3.804347826086956763e-02 1.040000000000000000e+02 1.000000000000000000e+02 7.329842931937172179e-02 3.804347826086956763e-02
1.800000000000000000e+01 2.777777777777777901e-01 1.440000000000000000e+02 1.666666666666666574e-01 1.162790697674418589e-01 1.440000000000000000e+02 1.000000000000000000e+02 2.083333333333333426e-01 1.162790697674418589e-01
1.600000000000000000e+01 2.500000000000000000e-01 1.270000000000000000e+02 5.000000000000000000e-01 2.000000000000000111e-01 1.270000000000000000e+02 1.000000000000000000e+02 3.333333333333333148e-01 2.000000000000000111e-01
1.700000000000000000e+01 4.705882352941176405e-01 7.900000000000000000e+01 3.493449781659388464e-02 3.361344537815125905e-02 7.900000000000000000e+01 1.000000000000000000e+02 6.504065040650407192e-02 3.361344537815125905e-02
1.700000000000000000e+01 2.941176470588235392e-01 1.280000000000000000e+02 2.380952380952380820e-01 1.515151515151515194e-01 1.280000000000000000e+02 1.000000000000000000e+02 2.631578947368420907e-01 1.515151515151515194e-01
2.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00 1.000000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00
3.000000000000000000e+00 1.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00
3.000000000000000000e+00 1.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00
3.000000000000000000e+00 6.666666666666666297e-01 4.300000000000000000e+01 6.666666666666666297e-01 5.000000000000000000e-01 4.300000000000000000e+01 1.000000000000000000e+02 6.666666666666666297e-01 5.000000000000000000e-01
3.000000000000000000e+00 1.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00
2.800000000000000000e+01 2.500000000000000000e-01 1.350000000000000000e+02 2.236421725239616520e-02 2.095808383233532801e-02 1.350000000000000000e+02 1.000000000000000000e+02 4.105571847507331201e-02 2.095808383233532801e-02
2.600000000000000000e+01 3.461538461538461453e-01 1.010000000000000000e+02 7.894736842105263414e-03 7.778738115816767086e-03 1.010000000000000000e+02 1.000000000000000000e+02 1.543739279588336212e-02 7.778738115816767086e-03
2.400000000000000000e+01 2.500000000000000000e-01 9.600000000000000000e+01 3.333333333333333148e-01 1.666666666666666574e-01 9.600000000000000000e+01 1.000000000000000000e+02 2.857142857142856984e-01 1.666666666666666574e-01
2.600000000000000000e+01 3.846153846153846367e-01 1.140000000000000000e+02 4.166666666666666852e-01 2.500000000000000000e-01 1.140000000000000000e+02 1.000000000000000000e+02 4.000000000000000222e-01 2.500000000000000000e-01
2.800000000000000000e+01 1.428571428571428492e-01 1.030000000000000000e+02 1.904761904761904656e-01 8.888888888888889228e-02 1.030000000000000000e+02 1.000000000000000000e+02 1.632653061224489666e-01 8.888888888888889228e-02
4.000000000000000000e+00 1.000000000000000000e+00 1.200000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 1.200000000000000000e+01 1.000000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00
4.000000000000000000e+00 7.500000000000000000e-01 3.200000000000000000e+01 7.500000000000000000e-01 5.999999999999999778e-01 3.200000000000000000e+01 1.000000000000000000e+02 7.500000000000000000e-01 5.999999999999999778e-01
5.000000000000000000e+00 4.000000000000000222e-01 2.200000000000000000e+01 5.000000000000000000e-01 2.857142857142856984e-01 2.200000000000000000e+01 1.000000000000000000e+02 4.444444444444444198e-01 2.857142857142856984e-01
5.000000000000000000e+00 1.000000000000000000e+00 1.500000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 1.500000000000000000e+01 1.000000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00
3.000000000000000000e+00 1.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00
9.000000000000000000e+00 7.777777777777777901e-01 2.600000000000000000e+01 8.750000000000000000e-01 6.999999999999999556e-01 2.600000000000000000e+01 1.000000000000000000e+02 8.235294117647058432e-01 6.999999999999999556e-01
8.000000000000000000e+00 8.750000000000000000e-01 3.600000000000000000e+01 8.750000000000000000e-01 7.777777777777777901e-01 3.600000000000000000e+01 1.000000000000000000e+02 8.750000000000000000e-01 7.777777777777777901e-01
8.000000000000000000e+00 7.500000000000000000e-01 5.000000000000000000e+01 7.500000000000000000e-01 5.999999999999999778e-01 5.000000000000000000e+01 1.000000000000000000e+02 7.500000000000000000e-01 5.999999999999999778e-01
8.000000000000000000e+00 5.000000000000000000e-01 8.100000000000000000e+01 2.666666666666666838e-02 2.597402597402597574e-02 8.100000000000000000e+01 1.000000000000000000e+02 5.063291139240506250e-02 2.597402597402597574e-02
8.000000000000000000e+00 6.250000000000000000e-01 4.300000000000000000e+01 7.142857142857143016e-01 5.000000000000000000e-01 4.300000000000000000e+01 1.000000000000000000e+02 6.666666666666666297e-01 5.000000000000000000e-01
2.000000000000000000e+01 4.000000000000000222e-01 1.590000000000000000e+02 6.611570247933884481e-02 6.015037593984962072e-02 1.590000000000000000e+02 1.000000000000000000e+02 1.134751773049645363e-01 6.015037593984962072e-02
1.900000000000000000e+01 6.315789473684210176e-01 5.900000000000000000e+01 7.500000000000000000e-01 5.217391304347825942e-01 5.900000000000000000e+01 1.000000000000000000e+02 6.857142857142857206e-01 5.217391304347825942e-01
1.800000000000000000e+01 8.333333333333333703e-01 7.900000000000000000e+01 8.823529411764705621e-01 7.500000000000000000e-01 7.900000000000000000e+01 1.000000000000000000e+02 8.571428571428570953e-01 7.500000000000000000e-01
1.900000000000000000e+01 4.210526315789473450e-01 1.130000000000000000e+02 2.580645161290322509e-01 1.904761904761904656e-01 1.130000000000000000e+02 1.000000000000000000e+02 3.200000000000000067e-01 1.904761904761904656e-01
1.700000000000000000e+01 5.882352941176470784e-01 7.500000000000000000e+01 2.173913043478260809e-01 1.886792452830188815e-01 7.500000000000000000e+01 1.000000000000000000e+02 3.174603174603174427e-01 1.886792452830188815e-01
2.900000000000000000e+01 1.724137931034482873e-01 1.780000000000000000e+02 8.771929824561403022e-02 6.172839506172839164e-02 1.780000000000000000e+02 1.000000000000000000e+02 1.162790697674418589e-01 6.172839506172839164e-02
2.700000000000000000e+01 4.444444444444444198e-01 8.600000000000000000e+01 5.999999999999999778e-01 3.428571428571428603e-01 8.600000000000000000e+01 1.000000000000000000e+02 5.106382978723403854e-01 3.428571428571428603e-01
2.600000000000000000e+01 5.384615384615384359e-01 1.140000000000000000e+02 4.000000000000000222e-01 2.978723404255319007e-01 1.140000000000000000e+02 1.000000000000000000e+02 4.590163934426229608e-01 2.978723404255319007e-01
2.800000000000000000e+01 2.142857142857142738e-01 3.030000000000000000e+02 3.703703703703703498e-02 3.260869565217391214e-02 2.880000000000000000e+02 1.000000000000000000e+02 6.315789473684210731e-02 3.260869565217391214e-02
