# truecount	recall	nodecounts	precision	adjaccuracy	truenodecounts	f1score	accuracy
1.536000000000000000e+03 1.000000000000000000e+00 9.300000000000000000e+01 7.837934377710874256e-02 7.837934377710874256e-02 1.620000000000000000e+02 1.453650688496664067e-01 7.837934377710874256e-02
1.183000000000000000e+03 1.000000000000000000e+00 9.300000000000000000e+01 5.157380765541895451e-02 5.157380765541895451e-02 1.330000000000000000e+02 9.808880228846234006e-02 5.157380765541895451e-02
2.653000000000000000e+03 1.000000000000000000e+00 9.300000000000000000e+01 1.232921275211450868e-01 1.232921275211450868e-01 1.380000000000000000e+02 2.195192586156964887e-01 1.232921275211450868e-01
1.601000000000000000e+03 1.000000000000000000e+00 9.300000000000000000e+01 9.842616500676257263e-02 9.842616500676257263e-02 1.460000000000000000e+02 1.792130743829406236e-01 9.842616500676257263e-02
5.910000000000000000e+02 1.000000000000000000e+00 9.300000000000000000e+01 3.808725913514210415e-02 3.808725913514210415e-02 1.440000000000000000e+02 7.337968711199403804e-02 3.808725913514210415e-02
1.839000000000000000e+03 1.000000000000000000e+00 9.300000000000000000e+01 7.997042963993737652e-02 7.997042963993737652e-02 1.980000000000000000e+02 1.480974431246225020e-01 7.997042963993737652e-02
1.663000000000000000e+03 1.000000000000000000e+00 9.300000000000000000e+01 8.794753820931831834e-02 8.794753820931831834e-02 1.970000000000000000e+02 1.616760645537624053e-01 8.794753820931831834e-02
2.817000000000000000e+03 1.000000000000000000e+00 9.300000000000000000e+01 1.222656250000000028e-01 1.222656250000000028e-01 2.070000000000000000e+02 2.178907065784893848e-01 1.222656250000000028e-01
2.147000000000000000e+03 1.000000000000000000e+00 9.300000000000000000e+01 1.160164271047227913e-01 1.160164271047227913e-01 2.120000000000000000e+02 2.079116835326586810e-01 1.160164271047227913e-01
1.226000000000000000e+03 1.000000000000000000e+00 9.300000000000000000e+01 7.471054235222425455e-02 7.471054235222425455e-02 1.740000000000000000e+02 1.390337945112270490e-01 7.471054235222425455e-02
1.200000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
8.000000000000000000e+00 1.000000000000000000e+00 9.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 6.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.600000000000000000e+01 6.111111111111111605e-01 9.300000000000000000e+01 7.096774193548387455e-01 4.888888888888888729e-01 1.900000000000000000e+01 6.567164179104477695e-01 4.888888888888888729e-01
1.200000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
8.000000000000000000e+00 1.000000000000000000e+00 9.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 6.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.900000000000000000e+02 8.959183673469387488e-01 9.300000000000000000e+01 3.687216529480934202e-02 3.671489504056201642e-02 5.500000000000000000e+01 7.082929977412068256e-02 3.671489504056201642e-02
