# truecount	recall	nodecounts	precision	adjaccuracy	truenodecounts	f1score	accuracy
5.910000000000000000e+02 1.590524534686971192e-01 9.300000000000000000e+01 6.266666666666667052e-01 6.057872011342398978e-03 1.440000000000000000e+02 2.537112010796221395e-01 6.057872011342398978e-03
1.839000000000000000e+03 5.910821098423055808e-01 9.300000000000000000e+01 6.443390634262003980e-01 4.726909027656983620e-02 1.980000000000000000e+02 6.165626772546795031e-01 4.726909027656983620e-02
1.663000000000000000e+03 2.399278412507516445e-01 9.300000000000000000e+01 6.638935108153077858e-01 2.110106298587973925e-02 1.970000000000000000e+02 3.524734982332155542e-01 2.110106298587973925e-02
2.817000000000000000e+03 3.986510472133475425e-01 9.300000000000000000e+01 7.660300136425648443e-01 4.874131944444444475e-02 2.070000000000000000e+02 5.243987858977352534e-01 4.874131944444444475e-02
2.147000000000000000e+03 7.126222636236608787e-01 9.300000000000000000e+01 8.065366367949393656e-01 8.267588890089701270e-02 2.120000000000000000e+02 7.566765578635015199e-01 8.267588890089701270e-02
1.226000000000000000e+03 4.192495921696574035e-01 9.300000000000000000e+01 5.654565456545654900e-01 3.132236441194393567e-02 1.740000000000000000e+02 4.814988290398126702e-01 3.132236441194393567e-02
1.200000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
8.000000000000000000e+00 1.000000000000000000e+00 9.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 6.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.200000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 8.148148148148147696e-01 7.096774193548387455e-01 1.900000000000000000e+01 8.979591836734693855e-01 7.096774193548387455e-01
1.200000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
