# truecount	recall	nodecounts	precision	adjaccuracy	truenodecounts	f1score	accuracy
9.700000000000000000e+01 9.896907216494845727e-01 9.300000000000000000e+01 4.875571356018283675e-02 4.873096446700507511e-02 1.740000000000000000e+02 9.293320425943853158e-02 4.873096446700507511e-02
3.000000000000000000e+00 1.000000000000000000e+00 9.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.000000000000000000e+00 1.000000000000000000e+00 9.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 6.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.000000000000000000e+00 7.500000000000000000e-01 9.300000000000000000e+01 4.285714285714285476e-01 3.750000000000000000e-01 1.900000000000000000e+01 5.454545454545454142e-01 3.750000000000000000e-01
3.000000000000000000e+00 1.000000000000000000e+00 9.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.000000000000000000e+00 1.000000000000000000e+00 9.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 6.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.400000000000000000e+01 6.363636363636363535e-01 9.300000000000000000e+01 1.122244488977955888e-02 1.115093588211867742e-02 5.500000000000000000e+01 2.205592753052382921e-02 1.115093588211867742e-02
5.000000000000000000e+01 5.799999999999999600e-01 9.300000000000000000e+01 1.388224030636668258e-02 1.374407582938388592e-02 9.300000000000000000e+01 2.711547452080411563e-02 1.374407582938388592e-02
4.900000000000000000e+01 5.510204081632652517e-01 9.300000000000000000e+01 2.380952380952380820e-02 2.335640138408304547e-02 9.900000000000000000e+01 4.564666103127641705e-02 2.335640138408304547e-02
1.600000000000000000e+01 5.000000000000000000e-01 9.300000000000000000e+01 8.000000000000000444e-01 4.444444444444444198e-01 9.900000000000000000e+01 6.153846153846154188e-01 4.444444444444444198e-01
5.100000000000000000e+01 5.490196078431373028e-01 9.300000000000000000e+01 1.203783319002579497e-02 1.191996594295444828e-02 8.600000000000000000e+01 2.355910811947833569e-02 1.191996594295444828e-02
8.000000000000000000e+00 5.000000000000000000e-01 9.300000000000000000e+01 6.666666666666666297e-01 4.000000000000000222e-01 9.900000000000000000e+01 5.714285714285713969e-01 4.000000000000000222e-01
6.000000000000000000e+00 1.000000000000000000e+00 9.300000000000000000e+01 5.999999999999999778e-01 5.999999999999999778e-01 1.700000000000000000e+01 7.500000000000000000e-01 5.999999999999999778e-01
